Date,Close/Last,Volume,Open,High,Low
09/09/2022,$110.65,23213590,$109.065,$110.99,$109.02
09/08/2022,$108.38,24238290,$108.04,$109.6,$107.16
09/07/2022,$109.45,23166970,$107.06,$109.98,$106.9
09/06/2022,$106.81,25068280,$107.3,$108.03,$105.78
09/02/2022,$107.85,24160710,$110.59,$110.74,$107.26
09/01/2022,$109.74,28360930,$108.28,$110.445,$107.36
08/31/2022,$108.22,28626970,$110.65,$110.85,$108.13
08/30/2022,$108.94,27513260,$110.17,$110.5,$107.8
08/29/2022,$109.42,21191160,$109.99,$110.95,$108.8
08/26/2022,$110.34,37245700,$114.72,$115.12,$110.19
08/25/2022,$116.65,16956790,$114.235,$116.72,$114.11
08/24/2022,$113.69,17734620,$113.5,$114.78,$112.8701
08/23/2022,$113.86,15870370,$113.475,$115.01,$113.43
08/22/2022,$114.24,21456650,$115.2,$115.63,$113.85
08/19/2022,$117.21,21809530,$119.06,$119.15,$116.76
08/18/2022,$120.17,17987660,$119.43,$120.82,$118.72
08/17/2022,$119.55,22846960,$120.12,$121.29,$119.38
08/16/2022,$121.7,19041230,$121.52,$122.43,$120.64
08/15/2022,$122.08,19494830,$121.13,$122.3,$120.61
08/12/2022,$121.68,19096270,$120.26,$121.68,$119.46
08/11/2022,$118.84,24293650,$121.28,$121.49,$118.56
08/10/2022,$119.7,30930350,$118.78,$120.92,$118.41
08/09/2022,$116.63,19086470,$117.135,$117.32,$115.71
08/08/2022,$117.3,19169480,$118.39,$120.15,$116.88
08/05/2022,$117.47,19159520,$116.23,$118.1056,$116
08/04/2022,$118.19,21602930,$117.48,$118.78,$116.89
08/03/2022,$118.08,28499010,$115.71,$118.62,$115.48
08/02/2022,$115.13,20236030,$114,$116.35,$113.72
08/01/2022,$114.86,26034290,$115.3,$116.72,$114.34
07/29/2022,$116.32,37223390,$113.08,$116.705,$113.06
07/28/2022,$114.22,32816570,$112.37,$114.34,$111.46
07/27/2022,$113.06,59858500,$109.26,$113.91,$108.01
07/26/2022,$105.02,47990960,$106.6,$107.2,$104.07
07/25/2022,$107.51,34690890,$108.41,$109.87,$106.3
07/22/2022,$107.9,48901180,$111,$112.34,$106.5
07/21/2022,$114.34,32676170,$114.28,$114.55,$111.1132
07/20/2022,$113.9,35600430,$113.17,$115.4,$112.48
07/19/2022,$113.81,36530950,$110.85,$114.02,$109.56
07/18/2022,$109.03,43164590,$112.64,$113.68,$108.37
07/15/2022,$111.7775,46769120,$112.0005,$113.1405,$110.9
07/14/2022,$110.3675,37003040,$110.2105,$111.093,$108.373
07/13/2022,$111.3535,43722020,$111.701,$114.196,$111.2015
07/12/2022,$114.0205,29959700,$116.215,$116.974,$113.6902
07/11/2022,$115.6765,31243700,$117.998,$117.998,$115.3305
07/08/2022,$119.3535,38238160,$117.25,$119.685,$116.9013
07/07/2022,$118.783,40935880,$115.08,$119.1895,$114.8335
07/06/2022,$114.572,37431380,$113.302,$115.5895,$111.476
07/05/2022,$113.263,39399640,$107.1005,$113.3768,$105.7315
07/01/2022,$108.7375,35475660,$107.933,$109.25,$106.7305
06/30/2022,$108.963,43169060,$110,$110.888,$106.75
06/29/2022,$111.7015,24716820,$111.552,$113.1603,$110.8725
06/28/2022,$112.0075,35880960,$115.8025,$117.3095,$111.848
06/27/2022,$115.8335,36420760,$118.273,$118.5795,$115.1797
06/24/2022,$117.975,41163680,$112.995,$118.079,$112.9525
06/23/2022,$112.242,28361920,$112.2315,$112.7425,$110.5005
06/22/2022,$111.4875,30774140,$110.5565,$113.3465,$110.3824
06/21/2022,$111.544,47415800,$108.9295,$112.4893,$108.6
06/17/2022,$107.1435,51376520,$106.0335,$108.6995,$105.046
06/16/2022,$106.0335,51684960,$107.221,$108.6485,$105.138
06/15/2022,$109.7645,39698180,$108.545,$111.4235,$107.6695
06/14/2022,$106.7155,33706260,$106.535,$107.9245,$105.8
06/13/2022,$106.3925,47251920,$106.7865,$108.7915,$106.1192
06/10/2022,$111.1615,41481840,$112.445,$113.279,$110.3661
06/09/2022,$114.8355,25797960,$116.3275,$118.299,$114.776
06/08/2022,$117.194,26107740,$116.7615,$118.5705,$116.6
06/07/2022,$117.1495,31590460,$115.4805,$117.691,$115.052
06/06/2022,$116.8205,33541540,$116.7045,$119.347,$116.164
06/03/2022,$114.541,26135460,$116.0625,$116.3216,$113.5185
06/02/2022,$117.6225,37992280,$114,$117.8995,$112.9465
06/01/2022,$113.892,36605520,$114.855,$117.1016,$113.25
05/31/2022,$113.762,50012260,$112.7465,$115.735,$112.0785
05/27/2022,$112.3165,37914120,$109.483,$112.318,$109.1383
05/26/2022,$107.7925,37947220,$105.677,$108.6495,$105.2249
05/25/2022,$105.805,40257340,$104.9855,$106.5,$103.8565
05/24/2022,$105.97,76779780,$105.772,$106.4583,$101.8847
05/23/2022,$111.488,37184940,$109.5875,$112.1475,$108.741
05/20/2022,$108.908,48962960,$111.951,$112.1835,$105.7964
05/19/2022,$110.384,34144400,$111.4315,$113.01,$110
05/18/2022,$111.8995,35125980,$115,$115.4,$111.5555
05/17/2022,$116.473,23053160,$116.8405,$116.9,$114.8698
05/16/2022,$114.445,25990440,$114.9555,$116.17,$113.8895
05/13/2022,$116.0505,35038480,$114.533,$117.875,$113.605
05/12/2022,$112.844,53836180,$111.3775,$114.295,$109.8245
05/11/2022,$113.6025,37534740,$113.2365,$116.3644,$113.2365
05/10/2022,$114.395,39900380,$115.5075,$116.25,$112.9005
05/09/2022,$112.511,40802860,$113.25,$115.0771,$112.0005
05/06/2022,$115.7465,39709580,$115.1845,$117.5715,$114.0155
05/05/2022,$116.5055,45840580,$120.204,$121.039,$115.0057
05/04/2022,$122.261,49915280,$117.0315,$122.8545,$115.116
05/03/2022,$117.334,24967360,$116.4305,$118.4418,$116.0345
05/02/2022,$116.583,35533020,$113.405,$116.7455,$112.6
04/29/2022,$114.1095,42676000,$116.7345,$117.9198,$113.8145
04/28/2022,$118.5225,48884640,$116.415,$119.6495,$114.115
04/27/2022,$114.2945,91820580,$114.4693,$117.242,$112.7365
04/26/2022,$118.65,73054880,$122.2945,$122.51,$118.511
04/25/2022,$123.074,46128260,$119.101,$123.2775,$118.511
04/22/2022,$119.6355,56883720,$125,$125.402,$118.925
04/21/2022,$124.8145,36445160,$129.25,$130.0985,$124.5265
04/20/2022,$128.04,31695460,$130.892,$131.399,$127.5
04/19/2022,$130.009,26489760,$127.6915,$130.333,$126.9995
04/18/2022,$127.6765,20808660,$127,$128.2125,$126.182
04/14/2022,$126.73,31597980,$130.4795,$130.4795,$126.601
04/13/2022,$129.894,27927240,$128,$130.334,$127.7412
04/12/2022,$127.7145,32710700,$131.6,$131.6,$126.789
04/11/2022,$128.8235,36883060,$131.8235,$132.0925,$128.6685
04/08/2022,$133.2875,25142800,$135.5835,$135.67,$132.9655
04/07/2022,$135.8885,26233600,$136.01,$137.1645,$134.2274
04/06/2022,$136.548,32468480,$138.75,$139.3605,$135.517
04/05/2022,$140.591,21418120,$142.869,$142.9905,$140.3825
04/04/2022,$142.9715,25970840,$140.3585,$143.712,$140.3105
04/01/2022,$140.1505,25941440,$139.5,$140.4708,$138.3075
03/31/2022,$139.0675,37524720,$142.053,$142.1078,$139.0245
03/30/2022,$141.9385,19884760,$142.46,$142.7203,$141.6
03/29/2022,$142.5055,34317020,$142.6475,$143.7935,$142.0383
03/28/2022,$141.4555,35049260,$140.9005,$142.0025,$139.8113
03/25/2022,$141.673,24143080,$141.916,$142.035,$139.7375
03/24/2022,$141.572,26396560,$139.2,$141.6188,$137.7505
03/23/2022,$138.2755,25153400,$138.7025,$139.5885,$137.835
03/22/2022,$139.868,35495540,$136.1015,$141.05,$136.1015
03/21/2022,$136.1015,26831680,$136.1635,$137.05,$134.0923
03/18/2022,$136.1255,44566900,$133.4245,$136.244,$132.2583
03/17/2022,$133.839,28263920,$133.149,$134.0804,$132.185
03/16/2022,$133.2805,35576980,$130.733,$133.333,$128.7345
03/15/2022,$129.198,30919520,$126.976,$129.8545,$125.7205
03/14/2022,$125.951,38811260,$130.25,$130.409,$125.275
03/11/2022,$129.8705,31526440,$133.4885,$133.7955,$129.6315
03/10/2022,$132.4295,27101400,$131.266,$133.2718,$130.9125
03/09/2022,$133.42,37025400,$131.25,$133.7355,$129.9005
03/08/2022,$127.1045,40427100,$126.25,$131.25,$125.6747
03/07/2022,$126.3785,45112940,$131.488,$131.735,$126.295
03/04/2022,$131.9065,30450640,$132.9275,$133.8515,$130.3375
03/03/2022,$133.8995,24603240,$136.01,$136.4395,$133.0255
03/02/2022,$134.5715,23519800,$134.628,$135.2625,$133.0715
03/01/2022,$134.0615,26495360,$134.8785,$136.2555,$133.2185
02/28/2022,$135.057,38864420,$133.05,$135.7515,$132.5923
02/25/2022,$134.4595,36405980,$133.552,$135.2715,$131.7515
02/24/2022,$132.691,54455080,$124.9533,$133,$124.9533
02/23/2022,$127.588,32786020,$131.6485,$132.051,$127.5275
02/22/2022,$129.8135,44990740,$129.8381,$132.1803,$128.2233
02/18/2022,$130.403,45619440,$133.467,$134.07,$130.1965
02/17/2022,$132.539,38949500,$136.243,$137.1135,$132.4785
02/16/2022,$137.738,25021300,$136.6465,$138.086,$134.9238
02/15/2022,$136.6085,26711260,$137.5705,$138.1085,$135.8215
02/14/2022,$135.526,34301080,$133.2565,$136.3,$133.2565
02/11/2022,$134.2825,39958340,$138.6,$139.1563,$133.4
